每个业务局点对应的一个业务产品,_Upgrade_Package_Affil_Catalog
接受方,_Recipient
黑名单,_Blacklist
采购单,_Purch_Ord
联系人,_Contactor
应支付,_Should_Pay
校验码,_Check_Code
回应人,_Respondent
归一化,_Normalized
分辨率,_Resolution
多媒体,_Multimedia
被加速,_Accelerate
惠生活,_Happy_Life
邀请码,_Invite_Code
退货单,_Return_Form
签名串,_Sign_String
媒体商,_Media_Busin
结果码,_Result_Code
机顶盒,_Set_Top_Box
回收站,_Recycle_Bin
返回码,_Return_Code
多权益,_Multi_Right
云照片,_Cloud_Photo
校验位,_Check_Digit
域类型,_Domain_Type
视频云,_Video_Cloud
云服务,_CloudService
智慧云,_Wisdom_Cloud
有效期,_Valid_Period
短消息,_Short_Message
出库单,_Out_Libry_Ord
准确率,_Accuracy_Rate
自然人,_Natural_Person
次高价,_Secd_High_Price
住建部,_Ministry_Of_House
干扰码,_Interference_Code
扫一扫,_Scan
人性化,_Hommi
云相册,_Cloudphoto
完整性,_Complete
手机端,_Mobile
天分区,_Pt_D
用户数,_Users
备忘录,_Notepad
开户行,_Open_Acct_Bank
通知栏,_Advise_Catalog
成员数,_Members
退换货,_Repair
月分区,_Pt_M
回复人,_Replyer
悬浮窗,_Float_Window
潜伏期,_Latency
SDK,_SDK
优购码,_Promt
无风险,_No_Risk
发放人,_Issued_User
白名单,_Whitelist
灰名单,_Greylist
14日,_14dy
第14,_14th
第30,_30th
LTV,_LTV
10日,_10dy
11日,_11dy
12日,_12dy
13日,_13dy
16日,_16dy
17日,_17dy
18日,_18dy
19日,_19dy
20日,_20dy
21日,_21dy
22日,_22dy
23日,_23dy
24日,_24dy
25日,_25dy
26日,_26dy
27日,_27dy
28日,_28dy
29日,_29dy
维度,_Dim
颁发,_Award
秘钥,_Scret
解密,_Dncry
30日,_30dy
销售单,_Sale_Order
浏览量,_Views
下载量,_Downloads
到访量,_Visits
游戏量,_Games
代金券,_Cash_Coupon
回收单,_Recycle_Order
更新人,_Update_User
7日,_7dy
3日,_3dy
次日,_1dy
留存,_Retain
增长,_Growth
沉默,_Dormant
回访,_Return
流失,_Loss
忘记,_Forget
跳过,_Skip
展开,_Spread
打开,_Open
我的,_My
录屏,_Screenrecorder
切换,_Shift
攻略,_Strategy
流畅,_Smooth
高清,_High_Def
融合,_Nosingle
独立,_Single
电子,_e
总账,_Gl
主键,_Pk
中文,_Cn
中国,_Cn
英文,_En
以前,_Bf
以后,_Af
香港,_Hk
上行,_Up
借记,_Db
借方,_Db
华为,_HW
国标,_GB
法人,_LP
贷记,_Cr
代码,_Cd
出口,_Ex
编号,_Id
最小,_Min
最大,_Max
总计,_Sum
资费,_Fee
重要,_Imp
重点,_Imp
中间,_Mid
置顶,_Top
制式,_Std
支付,_Pay
照片,_Pic
张数,_Cnt
占比,_Pct
增量,_Inc
增加,_Inc
运行,_Run
员工,_Emp
余额,_Bal
映射,_Map
应用,_App
引用,_Ref
延伸,_Ext
序列,_Seq
序号,_Seq
新增,_Inc
协议,_Agt
消息,_Msg
详细,_Dtl
箱单,_Box
限额,_Lmt
细节,_Dtl
系统,_Sys
文本,_Txt
网上,_Net
网络,_Net
投放,_Put
调用,_API
添加,_Add
套餐,_Pak
所有,_All
顺序,_Seq
税款,_Tax
数量,_Cnt
首期,_Fst
事件,_Evt
生效,_Eff
生成,_Gen
审核,_Chk
审查,_Chk
设置,_Set
设定,_Set
商业,_Cml
商务,_Biz
删除,_Del
日志,_Log
认定,_Cfm
确认,_Cfm
确定,_Cfm
券面,_Par
请求,_Req
清除,_Del
前缀,_Pfx
评估,_Est
批次,_Bat
欧元,_Eur
年龄,_Age
明细,_Dtl
秒数,_Sec
密码,_Pwd
美元,_Usd
每月,_Mon
六个,_Six
流水,_Jnl
两次,_Sec
连接,_Lnk
累计,_Total
来源,_Src
扩展,_Ext
扣款,_Chg
科目,_Coa
开发,_Dev
经理,_Mgr
金额,_Amt
截止,_End
结算,_Stl
结束,_End
接收,_Rcv
缴费,_Pay
交易,_Txn
检查,_Chk
价值,_Val
记录,_Rec
计算,_Cal
集团,_Grp
机构,_Org
货币,_Ccy
汇总,_Sum
环境,_Env
合计,_Sum
号码,_Num
行号,_Num
广告,_Adv
公用,_Pub
公开,_Pub
公共,_Pub
个数,_Qty
复核,_Chk
付费,_Pay
分项,_Sub
分析,_Anl
分发,_Dlv
分层,_Lvl
法律,_Law
二次,_Sec
额度,_Lmt
对象,_Obj
短信,_Sms
电话,_Tel
地理,_Geo
地点,_Loc
等价,_Eqv
登记,_Reg
到账,_Rcv
档案,_Doc
打点,_Log
错误,_Err
次序,_Seq
次数,_Cnt
传真,_Fax
初次,_Fst
出库,_Out_Stock
查询,_Qry
插入,_Ins
参数,_Par
参考,_Ref
财政,_Fin
财务,_Fin
标准,_Std
标志,_Flg
变量,_Var
笔数,_Cnt
版本,_Ver
历史,_His
月份,_Mon
所在,_Loc
本月,_Mon
市场,_Mkt
平均,_Avg
作业,_Job
下限,_Min
上限,_Max
集合,_Set
聚合,_Agg
发送,_Send
发出,_Send
作者,_Auth
最长,_Long
最新,_Last
最近,_Last
组合,_Comb
字体,_Font
自由,_Free
自动,_Auto
资讯,_Info
专题,_Spec
专区,_Area
主要,_Main
主体,_Main
种类,_Type
职务,_Duty
执行,_Exec
支持,_Supp
证件,_Iden
帐户,_Acct
帐号,_Acct
站点,_Site
展示,_Show
赠送,_gift
责任,_Duty
运营,_Oper
阅读,_Read
月均,_Mavg
原因,_Rsns
原始,_Orgi
预期,_Expt
游戏,_Game
邮寄,_Post
用户,_User
永久,_Perm
拥有,_Have
应答,_Resp
营业,_Oper
银行,_Bank
已用,_Used
页面,_Page
需要,_Need
姓名,_Name
性质,_Prop
形态,_Form
形式,_Form
星星,_Star
信息,_Info
芯片,_Chip
心情,_Mood
小时,_Hour
销售,_Sale
响应,_Resp
限值,_Limt
现有,_Curr
显示,_Disp
下一,_Next
下行,_Down
下次,_Next
下拨,_Down
文字,_Text
文件,_File
完好,_Well
退出,_Quit
推送,_Push
团队,_Team
途径,_Path
图标,_Icon
同一,_Same
同步,_Sync
通讯,_Comm
通信,_Comm
通过,_Pass
停止,_Stop
停机,_Halt
帖子,_Post
条件,_Cond
填写,_Fill
填入,_Fill
天数,_Days
特性,_Char
特殊,_Spec
特点,_Char
特别,_Spec
锁定,_Lock
损耗,_Loss
速率,_Rate
数据,_Data
属性,_Attr
授权,_Auth
受理,_Acpt
市县,_City
时间,_Time
失败,_Fail
审批,_Aprv
上一,_Prev
上期,_Last
上次,_Prev
扫描,_Scan
日期,_Date
日历,_Caln
任务,_Task
认证,_Cert
热度,_Heat
情况,_Situ
前一,_Prev
前次,_Prev
签约,_Sign
签署,_Sign
签收,_sign
签名,_Sign
签到,_Sign
期初,_init
平台,_Plat
频率,_Freq
频度,_Freq
偏好,_Pref
批复,_Aprv
配置,_Conf
排序,_Sort
排名,_Rank
欧洲,_Euro
年份,_Year
匿名,_Anym
模式,_Mode
名录,_List
名单,_List
名次,_Rank
名称,_Name
描述,_Desc
免费,_Free
门户,_Port
每份,_Each
每次,_Each
码率,_Rate
路径,_Path
流向,_Flow
流量,_Flow
流程,_Flow
浏览,_View
领取,_Draw
临时,_Temp
列表,_List
聊天,_Chat
链接,_Link
利率,_Rate
类型,_Type
快速,_Fast
控制,_Ctrl
客户,_Cust
开通,_Open
开启,_Open
开放,_Open
卡片,_Card
均匀,_Even
竞价,_Bidd
警戒,_warn
精华,_Best
经营,_Oper
经验,_Expr
结构,_Stru
节点,_Node
角色,_Role
交叉,_Cros
检索,_Rtrv
架构,_Arch
加载,_Load
加入,_Join
加工,_Calc
技术,_Tech
计价,_Valt
计划,_Plan
计费,_Bill
基础,_Base
基本,_Base
话单,_Bill
花粉,_Fans
呼叫,_Call
后台,_Back
合作,_Coop
毫秒,_Msec
行政,_Admn
行业,_Indu
行为,_Behv
国际,_Intl
滚动,_Roll
规则,_Rule
规模,_Size
规定,_Apnt
归属,_Blng
管理,_Mgmt
关注,_Care
关系,_Rela
构造,_Stru
功能,_Func
公司,_Corp
工作,_Work
工程,_Proj
个人,_Indv
副本,_Copy
附属,_Addi
附加,_Addi
符号,_Symb
封锁,_Lock
风险,_Risk
分数,_frct
分区,_Part
费用,_Cost
方式,_Mode
发帖,_Post
发起,_Init
发货,_Ship
对接,_Dock
丢失,_Lost
地址,_Addr
地域,_Area
地区,_Zone
等级,_Rank
等待,_Wait
当期,_Curr
单元,_Unit
单位,_Unit
代号,_Code
大小,_Size
存档,_Arch
串码,_Code
处理,_Proc
初始,_Init
出售,_Sell
出厂,_Make
尺寸,_Size
程序,_Prog
城市,_City
承担,_Bear
成交,_Barg
成本,_Cost
场所,_Site
场地,_Site
产品,_Prod
测算,_Calc
测试,_Test
操作,_Oper
菜单,_Menu
部门,_Dept
部分,_Part
步骤,_Step
播放,_Play
标注,_Mark
标签,_Tags
标记,_Mark
编辑,_Edit
保存,_Save
绑定,_Bind
版块,_Sect
安全,_Safe
参加,_Join
穿戴,_Wear
真实,_Real
帐单,_Bill
榜单,_List
现金,_Cash
浮标,_Buoy
系数,_Coef
收费,_Chrg
企业,_Corp
下载,_Down
标识,_Sign
群发,_Mass
传播,_Sprd
退税,_Refd
生命,_Life
命名,_Name
插件,_Plug
卡顿,_Stop
卡卡,_KaKa
盐值,_Salt
迁移,_Move
影片,_Video
缩写,_Short
昨日,_Ytday
最后,_Final
最差,_Worst
租赁,_Lease
总量,_Total
字幕,_Title
字段,_Field
主题,_Theme
主动,_Initi
周期,_cycle
中断,_Break
智能,_Smart
直接,_Dirct
证明,_Prove
粘贴,_Affix
暂停,_Pause
允许,_Allow
月度,_Monly
预警,_Alert
逾期,_Ovdue
有效,_Valid
邮箱,_Email
优先,_Prior
优酷,_Youku
优惠,_Prefr
用途,_Usage
影像,_Image
音乐,_Music
以上,_Above
一级,_First
夜间,_Night
颜色,_Color
延期,_Delay
延迟,_Delay
勋章,_Medal
学业,_Study
学习,_Study
续约,_Renew
虚假,_False
幸运,_Lucky
型号,_Model
写入,_Input
携带,_Carry
相当,_Equal
相册,_Album
误差,_Mistk
维修,_Maint
维护,_Maint
完备,_Ready
外国,_Forgn
图片,_Image
头衔,_Title
同意,_Agree
条数,_Count
索引,_Index
算法,_Algor
素材,_Mater
睡眠,_Sleep
水平,_Level
刷机,_Brush
输入,_Input
受众,_Audic
首次,_First
手续,_Procd
收支,_In_Ex
收据,_Recpt
收货,_Cargo
视频,_Video
事物,_Thing
世界,_World
使用,_Usage
声音,_Sound
深度,_Depth
申请,_Apply
上级,_Super
商品,_Goods
商户,_Merch
商城,_Vmall
三级,_Third
群组,_Group
全部,_Total
权利,_Right
取值,_Value
区间,_Range
清醒,_Awake
潜在,_Potnl
前端,_Front
签发,_Issue
起始,_Start
其他,_Other
欺诈,_Fraud
期末,_Final
期次,_Terms
评分,_Score
品牌,_Brand
拼音,_Spell
匹配,_Match
批量,_Batch
年限,_Years
末期,_Final
模型,_Model
门类,_Divsn
每天,_Daily
每日,_Daily
媒体,_Media
贸易,_Trade
逻辑,_Logic
论坛,_Forum
轮播,_Rotat
录入,_Input
六级,_Sixth
令牌,_Token
领域,_Field
连续,_Conts
隶属,_Affil
离开,_Leave
类别,_Categ
库存,_Stock
空间,_Space
空白,_Blank
可选,_Allow
开始,_Start
开机,_Start
剧集,_Drama
境内,_Domes
经过,_Thrgh
今日,_Today
借贷,_Db_Cr
阶段,_Phase
交互,_Inter
奖品,_Prize
奖金,_Bonus
简要,_Brief
检测,_Detct
价格,_Price
加总,_Total
加密,_Encry
季度,_Quart
技能,_Skill
级别,_Level
积数,_Accum
积累,_Accum
积分,_Point
机型,_Model
货物,_Goods
活动,_Actvy
混合,_Mixed
会员,_Membr
回复,_Reply
缓存,_Cache
花瓣,_Petal
合约,_Contr
合同,_Contr
海外,_Ovsea
轨迹,_Track
观察,_Obsrv
关联,_Assoc
关闭,_Close
故障,_Fault
固定,_Fixed
购入,_Purch
购买,_Purch
购货,_Purch
覆盖,_Cover
负数,_Negat
付方,_Payer
浮动,_Float
风格,_Style
分享,_Share
分片,_Slice
分类,_Class
分成,_Divid
范围,_Scope
法定,_Legal
发生,_Occur
额外,_Extra
队列,_Queue
订购,_Order
订单,_Order
点数,_Point
点击,_Click
第一,_First
第三,_Third
登录,_Login
登陆,_Entry
当月,_Monly
当前,_Currt
单笔,_Singl
代理,_Agent
大型,_Large
大赛,_Match
大类,_Class
促销,_Promt
创意,_Creat
出生,_Birth
出入,_Inout
充值,_Topup
成立,_Estab
称谓,_Title
超级,_Super
厂商,_Maker
查看,_Check
层级,_Level
策略,_Strat
仓库,_Store
采购,_Purch
病毒,_Virus
别名,_Alias
标题,_Title
壁纸,_Wallp
比率,_Ratio
本地,_Local
统一,_Unite
最终,_Final
回帖,_Reply
研发,_Reply
通道,_Aisle
清理,_Clean
补漏,_Trapp
公会,_Guild
坐标,_Coord
支出,_Spend
最低,_Lowest
综合,_Integr
字母,_Letter
资源,_Resour
状态,_Status
抓取,_Obtain
助手,_Assist
重复,_Repeat
中心,_Center
职业,_Career
正式,_Formal
正常,_Normal
折算,_Reduce
长度,_Length
占用,_Occupy
在线,_Online
月数,_Months
远程,_remote
域名,_Domain
预算,_Budget
预设,_Preset
预付,_Prepay
友好,_Friend
邮政,_Postal
影响,_Affect
易宝,_YEEPAY
艺人,_Artist
移动,_Mobile
移除,_Remove
邀请,_Invite
验证,_Verify
循环,_Circle
学校,_School
学位,_Degree
选择,_Choice
选项,_Option
修正,_Update
修改,_Update
修订,_Revise
性别,_Gender
信用,_Credit
卸量,_Unload
校验,_Verify
消除,_Remove
详情,_Detail
线上,_Online
线程,_Thread
系列,_Series
问卷,_Quesnr
未来,_Future
未决,_Unsetl
未付,_Unpaid
唯一,_Unique
玩家,_Player
完成,_finish
外部,_Extnal
外包,_Outsrc
退款,_Refund
退货,_Return
退回,_Return
推广,_Spread
统计,_Statis
通知,_Advise
体重,_Weight
提交,_Submit
所属,_Belong
随机,_Random
搜索,_Search
送达,_Arrive
四级,_Fourth
税前,_Pretax
数字,_Number
输出,_Output
手机,_Mobile
手工,_Manual
收入,_Income
事项,_Clause
实体,_Entity
实时,_Realtm
实际,_Actual
失效,_Expire
剩余,_Remain
身高,_Height
设备,_Device
上线,_Online
上切,_Up_Chg
上传,_Upload
上报,_Report
三十,_Thirty
容量,_Volume
全局,_Global
权重,_Weight
权益,_Rights
权限,_Permis
取消,_Cancel
区域,_Region
区县,_County
签订,_Signed
启用,_St_Use
屏幕,_Screen
聘任,_Employ
品种,_Varity
片长,_Length
片头,_Titles
批准,_Aprved
配偶,_Spouse
年度,_Annual
内存,_Memory
内部,_Inside
目的,_Purpos
目标,_Target
模块,_Module
民族,_Ethnic
媒质,_Medium
旅行,_Travel
零售,_Retail
联盟,_Allian
例外,_Except
利润,_Profit
理由,_Reason
括展,_Extend
扣减,_Deduct
可用,_enable
卡券,_Coupon
决策,_Decsin
拒绝,_Refuse
矩阵,_Matrix
居住,_Reside
禁止,_Forbid
近端,_Stminl
进出,_Import
紧急,_Urgent
金钱,_Amount
介绍,_Intrdt
解锁,_Unlock
结论,_Concls
结果,_Result
街道,_Street
揭示,_Reveal
接入,_Access
交友,_Friend
奖励,_Reward
健康,_Health
建立,_Create
建成,_Complt
简单,_Simple
减少,_Reduce
减价,_Reduce
家庭,_Family
加权,_Weight
及时,_Intime
激活,_Active
获取,_Obtain
获得,_Obtain
活跃,_Active
恢复,_Resume
环球,_Global
花币,_Hwcoin
忽略,_Ignore
好友,_Friend
过滤,_Filter
国籍,_Nation
规格,_Specfc
雇佣,_Employ
供应,_Supply
共有,_Common
工资,_Salary
更新,_Update
更改,_Change
格式,_Format
概率,_Problt
父母,_Parent
父级,_Parent
辅助,_Assist
访问,_Access
方法,_Method
返回,_Return
发放,_Issued
二级,_Second
端侧,_Client
度量,_Metric
冻结,_Frozen
动作,_Action
定义,_Define
定向,_Orient
定时,_Timing
第二,_Second
抵扣,_Deduct
到达,_Arrive
导入,_Import
当年,_Annual
答案,_Answer
创建,_Create
抽奖,_Raffle
持续,_Contin
程度,_Degree
成员,_Member
成为,_Become
朝向,_Toward
超出,_Beyond
场景,_Scenes
产生,_Create
产地,_Origin
财簿,_Fin_Bk
不足,_Insuff
表情,_Expres
变更,_Change
编码,_Encode
备注,_Remark
备份,_Backup
报表,_Report
社交,_Social
挑战,_Challg
调查,_Survey
共享,_Shared
调整,_Adjust
商标,_Tradmk
大区,_Region
下发,_Issued
驳回,_Reject
决赛,_Finals
窗口,_Window
跟踪,_Follow
密钥,_Secret
保留,_Retain
识别,_Recogn
收益,_Revenue
默认,_Default
下单,_Booking
最高,_Highest
自然,_Natural
子网,_Sub_Net
资格,_Qualify
注销,_Log_Off
周末,_Weekend
中奖,_Winning
摘要,_Summary
增额,_Inc_Lmt
月末,_Mon_End
约定,_Appoint
预约,_Booking
预览,_Preview
预订,_Booking
邮编,_Zipcode
佣金,_Commisn
隐私,_Privacy
意见,_Opinion
异议,_Dissent
移植,_Migrate
业务,_Service
要求,_Require
学生,_Student
虚拟,_Virtual
休眠,_Dormant
小图,_Sml_Pic
消费,_consume
项目,_Project
线下,_Offline
下线,_Offline
无效,_Invalid
问题,_Problem
未知,_Unknown
委托,_Entrust
网站,_Website
网盘,_Dbank
网关,_Gateway
网段,_Segment
脱机,_Offline
同类,_Similar
替换,_Replace
提示,_Present
提供,_Provide
特征,_Feature
诉讼,_Lawsuit
说明,_Comment
刷新,_Refresh
首付,_Fst_Pay
收款,_Receipt
收藏,_Collect
适用,_Applied
事务,_Transct
声名,_Declare
升级,_Upgrade
上映,_Release
渠道,_Channel
情感,_Emotion
期间,_Interim
评论,_Comment
品质,_Quality
频道,_Channel
片尾,_Trailer
批号,_Bat_Num
拍卖,_Auction
能力,_Ability
内容,_Content
目录,_Catalog
命令,_Command
名义,_Nominal
面值,_Par_Val
联系,_Contact
联网,_Network
里程,_Mileage
礼包,_Package
离线,_Offline
栏目,_Catalog
可见,_Visible
纠纷,_Dispute
境外,_Oversea
节目,_Program
降级,_Degrade
建设,_Constru
假日,_Holiday
继承,_Inherit
机器,_Machine
获赠,_Receive
获奖,_Winning
会计,_Accting
会话,_Session
过期,_Expired
国家,_Country
归档,_Archive
改进,_Improve
服务,_Service
分段,_Segment
分档,_Segment
发票,_Invoice
发行,_Publish
发布,_Release
发表,_Publish
动态,_Dynamic
定价,_Pricing
电池,_Battery
点评,_Comment
代替,_Replace
大图,_Big_Pic
存储,_Storage
触发,_Trigger
成功,_Success
变化,_Variety
边栏,_Sidebar
比较,_Compare
安装,_Install
伙伴,_Partner
采集,_Collect
密度,_Density
排列,_Arrange
区分,_Disting
轮询,_Polling
终端,_Terminal
咨询,_Advisory
注册,_Register
职位,_Position
预定,_Schedule
预存,_Prestore
预测,_Forecast
语种,_Language
语言,_Language
硬件,_Hardware
营销,_Cam
小类,_Subclass
消耗,_Consumpt
相对,_Relative
限制,_Restrict
下切,_Down_Chg
细类,_Subclass
物理,_Physical
位置,_Position
纬度,_Latitude
网页,_Web_Page
完整,_Complete
提醒,_Reminder
双向,_Bidirect
实收,_Received
实名,_Realname
时长,_Duration
省份,_Province
声望,_Prestige
生日,_Birthday
上架,_On_Shelf
软件,_Software
入职,_On_Board
区划,_Division
亲属,_Relative
昵称,_Nickname
内置,_Built_In
模板,_Template
快照,_Snapshot
快捷,_Shortcut
可信,_Credible
绝对,_Absolute
进入,_Entering
键盘,_Keyboard
建议,_Proposal
间接,_Indirect
间隔,_Interval
婚姻,_Marriage
关机,_Shutdown
雇主,_Employer
固件,_Firmware
反馈,_Feedback
儿童,_Children
兑换,_Exchange
定量,_Quantify
点赞,_Thumb_Up
底盘,_Underpan
当天,_Intraday
单价,_Unit_Prc
传输,_Transfer
超时,_Overtime
参与,_Partcipt
参见,_See_Also
财年,_Fin_Year
身份,_Identity
运动,_Movement
曝光,_Exposure
安检,_Security
杂志,_Magazine
财经,_Fin_Ecom
锁网,_Lock_Net
机身,_Fuselage
调账,_Adj_Acct
组件,_Component
子类,_Sub_class
状况,_Situation
阈值,_Threshold
异常,_exception
姓氏,_Last_Name
星级,_Star_Rate
卸载,_Uninstall
推荐,_Recommend
调增,_adjust_up
水印,_Watermark
时效,_Prescript
时区,_Time_Zone
敏感,_Sensitive
门牌,_Doorplate
客服,_Cust_Serv
均价,_Avg_Price
经度,_Longitude
界面,_Interface
接口,_Interface
教育,_Education
基站,_Base_Stat
回调,_Call_Back
核销,_Write_Off
官网,_Offic_Web
附件,_Accessory
多人,_Groupchat
币种,_Cuerrency
版主,_Moderator
版权,_Copyright
开卡,_Open_Card
截取,_Intercept
折后,_Discounted
预装,_Preinstall
艺名,_Stage_Name
血型,_Blood_Type
学历,_Edu_Degree
校正,_Correcting
下架,_OFF_SHELVE
提成,_Commission
淘帖,_Amoy_Posts
时延,_Time_Delay
人工,_Artificial
留言,_Leave_Word
截图,_Screenshot
简称,_Short_Name
汇率,_Exchg_Rate
横排,_Horizontal
核数,_Kernel_Num
合规,_Compliance
工单,_Work_Order
父集,_Father_Set
豆瓣,_Watercress
单聊,_Singlechat
达标,_Compliance
串号,_Serial_Num
步数,_Step_Count
补充,_Supplement
毕业,_Graduation
背景,_Background
发卡,_Card_Issue
首帖,_First_Post
合法,_Legitimate
后壳,_Back_Cover
增减,_Incrs_Decrs
压缩,_Compression
网游,_Online_Game
首帧,_First_Frame
生肖,_Zodiac_Sign
浅睡,_Light_Sleep
局点,_Commc_Point
互推,_Mutual_Push
耗时,_Time_Consum
管家,_Housekeeper
多包,_Mul_Package
三位,_Three_Digit
职称,_Profsn_Title
调减,_adjust_down
前天,_Day_Bf_Ytday
籍贯,_Native_Place
分布,_Distribution
传送,_Transmission
快搜,_Quick_Search
两位,_Double_Digit
星座,_constellation
头像,_Head_Portrait
批价,_Approve_Price
叠加,_Superposition
抓包,_Packet_Capture
横屏,_Horiztl_Screen
销户,_Account_Cancell
小区,_Residential_Quarters
更多,_More
帮助,_Help
挂断,_Hangup
缺失,_Lack
存在,_Exist
崩溃,_Crash
体验,_Experi
难看,_Ugly
不够,_Not_Enough
丰富,_Abund
不能,_Cannot
距离,_Distance
鉴定,_Aprs
首页,_Homepage
干预,_Intervene
微信,_Wechat
拍砖,_Paizhuan
QQ,_QQ
引导,_Guide
挂起,_Hang
上月,_Last_Mon
出现,_Appear
测量,_Measure
邮件,_Email
刷卡,_Swipe
一次,_One
健身,_Bodybuilding
课程,_Course
简短,_Short
导演,_Directors
编剧,_Writers
出品,_Produce
角标,_Corner
普通,_General
训练,_Train
已有,_Exist
指纹,_Fingerprint
欢迎,_Welcome
定位,_Locate
告警,_Alarm
主机,_Host
相同,_Same
停留,_Stop
入口,_Entry
下游,_Downstream
贡献,_Ctb
去重,_Distinct
cookie,_Cookie
批发,_Whsl
付款,_Pay
赠品,_Gift
指导,_guide
重量,_Weight
回传,_Return
折扣,_Dcn
体积,_Volume
保价,_Insrd
运费,_Frt
配送,_Dstr
划入,_Enter
没有,_No
转化,_Cnvr
通话,_Call
录音,_Tape
拦截,_Intercept
相机,_Camera
传出,_Out
传入,_Afferent
文档,_Doc
握手,_Handshake
为0,_Zero
凭据,_Cred
仓储,_Store
验货,_Chk
返修,_Rpr
退换,_Return
入库,_In_Stock
按钮,_Button
重置,_Rset
集成,_Integ
闲时,_Idle_Time
弹出,_Popup
云侧,_Cloud
基线,_Bsln
画像,_Persona
店铺,_Shop
期限,_Period
解冻,_Unfrozen
趋势,_Trend
开户,_Open_Acct
